status,index,name_ru,name_en,description_ru,facts_ru,description_en,facts_en,notes
imported,906,Андаманские острова,Andaman Islands,yes,1,yes,1,
imported,1017,Долина Дзюкоу,Dzukou Valley,yes,1,yes,1,
imported,1751,Пещерные храмы на острове Элефанта,Elephanta Caves,yes,1,yes,1,
imported,1758,Древний город Фатехпур-Сикри,Fatehpur Sikri,yes,1,yes,1,
imported,1314,Канченджанга,Kangchenjunga,yes,1,yes,1,
imported,1318,Кашмирская долина,Kashmir Valley,yes,1,yes,1,
imported,2389,Мумбаи,Mumbai,yes,1,yes,1,
imported,1315,Памир,Pamir Mountains,yes,1,yes,1,
imported,1319,Спити,Spiti,yes,1,yes,1,
imported,1757,Мавзолей Тадж-Махал (город Агра),Taj Mahal,yes,1,yes,1,
imported,1316,Трисул,Trisul,yes,1,yes,1,
imported,752,Западные Гхаты,Western Ghats,yes,1,yes,1,
imported,1322,Гойройдонг,Geureudong,yes,1,yes,1,
imported,1327,Макасарский пролив,Makassar Strait,yes,1,yes,1,
imported,1321,Сёлавах-Агам,Seulawah Agam,yes,1,yes,1,
imported,1320,Сорикмарапи,Sorikmarapi,yes,1,yes,1,
imported,1326,Зондский пролив,Sunda Strait,yes,1,yes,1,
imported,1330,Тимор,Timor,yes,1,yes,1,
imported,1328,Арасбаран,Arasbaran,yes,1,yes,1,
imported,1329,Кергес,Karkas Mountains,yes,1,yes,1,
imported,1790,Археологический объект Бисотун,Bisotun,yes,1,yes,1,
imported,758,Пустыня Лут,Lut Desert,yes,1,yes,1,
imported,1787,Древний город Пасаргады,Pasargadae,yes,1,yes,1,
imported,1784,Древний город Персеполь,Persepolis,yes,1,yes,1,
imported,1788,Мавзолей Солтание (провинция Зинджан),Soltaniyeh,yes,1,yes,1,
imported,1800,Сузы,Susa,yes,1,yes,1,
imported,1786,Древний город Техте-Солейман,Takht-e Soleyman,yes,1,yes,1,
imported,1805,Транс-иранская железная дорога,Trans-Iranian Railway,yes,1,yes,1,
